"ID";"descrizione";"Data";"Tipo_di_costo";"Importo"
"14/129";"STIVAL SA NV";"2020-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"90,87"
"14/94";"STORICA FATTORIA PALAGIACCIO S.S.A ";"2020-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"139,88"
"14/118";"FERRAIUOLO FOODS SRLS ";"2020-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"302,4"
"14/107";"DIVINA FOOD AG    ";"2020-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"52,8"
"14/24";"STABLE TRADING LIMITED ITALIAN FINE FOOD UNIT A.18/F SUN YING ";"2020-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"0,0"
"14/143";"PASSIONE E PURA";"2020-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"43,47"
"14/131";"ALDI SRL COD.09717   SOC.CON SOCIO UNICO         ";"2020-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"86,8"
"14/126";"MAIORA SRL   ";"2020-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"820,06"
"14/117";"INIZIATIVE ALIMENTARI SRL     ";"2020-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"125,19"
"14/125";"LA FUTURA SRL       ";"2020-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"24,69"
"14/143";"APULIA DISTRIBUZIONE";"2020-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"0,0"
"14/87";"METRO ITALIA CASH AND CARRY spa";"2020-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"426,47"
"14/142";"LA FOCACCERIA";"2020-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"28,17"
"14/92";"GS SPA (Carrefour Terre Italia)";"2021-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"0,0"
"14/62";"RIALTO SPA SOCIETA' A SOCIO UNICO     ";"2021-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"301,52"
"14/121";"IPER MONTEBELLO SPA  ";"2021-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"381,77"
"14/127";"GS SPA (IPERMERCATI)";"2021-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"475,46"
"14/128";"GS SPA (DIPERDI')";"2021-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"66,74"
"14/4";"COOP CENTRO ITALIA SOCIETA' COOPERATIVA  ";"2021-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"413,01"
"14/129";"STIVAL SA NV";"2021-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"90,87"
"14/94";"STORICA FATTORIA PALAGIACCIO S.S.A ";"2021-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"139,88"
"14/118";"FERRAIUOLO FOODS SRLS ";"2021-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"302,4"
"14/107";"DIVINA FOOD AG    ";"2021-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"52,8"
"14/24";"STABLE TRADING LIMITED ITALIAN FINE FOOD UNIT A.18/F SUN YING ";"2021-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"0,0"
"14/143";"PASSIONE E PURA";"2021-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"43,47"
"14/131";"ALDI SRL COD.09717   SOC.CON SOCIO UNICO         ";"2021-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"86,8"
"14/126";"MAIORA SRL   ";"2021-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"820,06"
"14/117";"INIZIATIVE ALIMENTARI SRL     ";"2021-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"125,19"
"14/125";"LA FUTURA SRL       ";"2021-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"24,69"
"14/143";"APULIA DISTRIBUZIONE";"2021-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"0,0"
"14/87";"METRO ITALIA CASH AND CARRY spa";"2021-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"426,47"
"14/142";"LA FOCACCERIA";"2021-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"28,17"
"14/92";"GS SPA (Carrefour Terre Italia)";"2020-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"0,0"
"14/62";"RIALTO SPA SOCIETA' A SOCIO UNICO     ";"2020-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"301,52"
"14/121";"IPER MONTEBELLO SPA  ";"2020-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"381,77"
"14/127";"GS SPA (IPERMERCATI)";"2020-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"475,46"
"14/128";"GS SPA (DIPERDI')";"2020-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"66,74"
"14/4";"COOP CENTRO ITALIA SOCIETA' COOPERATIVA  ";"2020-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"413,01"
"14/129";"STIVAL SA NV";"2020-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"90,87"
"14/94";"STORICA FATTORIA PALAGIACCIO S.S.A ";"2020-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"139,88"
"14/118";"FERRAIUOLO FOODS SRLS ";"2020-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"302,4"
"14/107";"DIVINA FOOD AG    ";"2020-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"52,8"
"14/24";"STABLE TRADING LIMITED ITALIAN FINE FOOD UNIT A.18/F SUN YING ";"2020-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"0,0"
"14/143";"PASSIONE E PURA";"2020-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"43,47"
"14/131";"ALDI SRL COD.09717   SOC.CON SOCIO UNICO         ";"2020-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"86,8"
"14/126";"MAIORA SRL   ";"2020-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"820,06"
"14/117";"INIZIATIVE ALIMENTARI SRL     ";"2020-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"125,19"
"14/125";"LA FUTURA SRL       ";"2020-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"24,69"
"14/143";"APULIA DISTRIBUZIONE";"2020-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"0,0"
"14/87";"METRO ITALIA CASH AND CARRY spa";"2020-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"426,47"
"14/142";"LA FOCACCERIA";"2020-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"28,17"
"14/92";"GS SPA (Carrefour Terre Italia)";"2021-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"0,0"
"14/62";"RIALTO SPA SOCIETA' A SOCIO UNICO     ";"2021-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"301,52"
"14/121";"IPER MONTEBELLO SPA  ";"2021-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"381,77"
"14/127";"GS SPA (IPERMERCATI)";"2021-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"475,46"
"14/128";"GS SPA (DIPERDI')";"2021-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"66,74"
"14/4";"COOP CENTRO ITALIA SOCIETA' COOPERATIVA  ";"2021-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"413,01"
"14/129";"STIVAL SA NV";"2021-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"90,87"
"14/94";"STORICA FATTORIA PALAGIACCIO S.S.A ";"2021-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"139,88"
"14/118";"FERRAIUOLO FOODS SRLS ";"2021-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"302,4"
"14/107";"DIVINA FOOD AG    ";"2021-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"52,8"
"14/24";"STABLE TRADING LIMITED ITALIAN FINE FOOD UNIT A.18/F SUN YING ";"2021-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"0,0"
"14/143";"PASSIONE E PURA";"2021-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"43,47"
"14/131";"ALDI SRL COD.09717   SOC.CON SOCIO UNICO         ";"2021-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"86,8"
"14/126";"MAIORA SRL   ";"2021-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"820,06"
"14/117";"INIZIATIVE ALIMENTARI SRL     ";"2021-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"125,19"
"14/125";"LA FUTURA SRL       ";"2021-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"24,69"
"14/143";"APULIA DISTRIBUZIONE";"2021-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"0,0"
"14/87";"METRO ITALIA CASH AND CARRY spa";"2021-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"426,47"
"14/142";"LA FOCACCERIA";"2021-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"28,17"
"14/5";"ESSELUNGA FIRENZE";"2020-03-31";"CONTRATTI";"3924,0"
"14/1";"UNICOOP FIRENZE S.C.R.L.   ";"2020-03-31";"CONTRATTI";"2500,0"
"14/62";"RIALTO SPA SOCIETA' A SOCIO UNICO     ";"2020-03-31";"CONTRATTI";"0,0"
"14/121";"IPER MONTEBELLO SPA  ";"2020-03-31";"CONTRATTI";"5834,0"
"14/127";"GS SPA (IPERMERCATI)";"2020-03-31";"CONTRATTI";"210,0"
"14/4";"COOP CENTRO ITALIA SOCIETA' COOPERATIVA  ";"2020-03-31";"CONTRATTI";"0,0"
"14/109";"CONAD DEL TIRRENO SOC. COOP  VIA BURE VECCHIA NORD 10   ";"2020-03-31";"CONTRATTI";"1875,0"
"14/126";"MAIORA SRL   ";"2020-03-31";"CONTRATTI";"0,0"
"14/5";"ESSELUNGA FIRENZE";"2021-03-31";"CONTRATTI";"3924,0"
"14/1";"UNICOOP FIRENZE S.C.R.L.   ";"2021-03-31";"CONTRATTI";"2500,0"
"14/62";"RIALTO SPA SOCIETA' A SOCIO UNICO     ";"2021-03-31";"CONTRATTI";"0,0"
"14/121";"IPER MONTEBELLO SPA  ";"2021-03-31";"CONTRATTI";"5834,0"
"14/127";"GS SPA (IPERMERCATI)";"2021-03-31";"CONTRATTI";"210,0"
"14/4";"COOP CENTRO ITALIA SOCIETA' COOPERATIVA  ";"2021-03-31";"CONTRATTI";"0,0"
"14/109";"CONAD DEL TIRRENO SOC. COOP  VIA BURE VECCHIA NORD 10   ";"2021-03-31";"CONTRATTI";"1875,0"
"14/126";"MAIORA SRL   ";"2021-03-31";"CONTRATTI";"0,0"
"14/5";"ESSELUNGA FIRENZE";"2020-06-30";"CONTRATTI";"4454,0"
"14/1";"UNICOOP FIRENZE S.C.R.L.   ";"2020-06-30";"CONTRATTI";"2500,0"
"14/62";"RIALTO SPA SOCIETA' A SOCIO UNICO     ";"2020-06-30";"CONTRATTI";"850,0"
"14/121";"IPER MONTEBELLO SPA  ";"2020-06-30";"CONTRATTI";"4386,15"
"14/127";"GS SPA (IPERMERCATI)";"2020-06-30";"CONTRATTI";"1500,0"
"14/4";"COOP CENTRO ITALIA SOCIETA' COOPERATIVA  ";"2020-06-30";"CONTRATTI";"3500,0"
"14/91";"PENNY MARKET SRL CON SOCIO UNICO ";"2020-06-30";"CONTRATTI";"3750,0"
"14/109";"CONAD DEL TIRRENO SOC. COOP  VIA BURE VECCHIA NORD 10   ";"2020-06-30";"CONTRATTI";"3500,0"
"14/126";"MAIORA SRL   ";"2020-06-30";"CONTRATTI";"0,0"
"14/5";"ESSELUNGA FIRENZE";"2021-06-30";"CONTRATTI";"4454,0"
"14/1";"UNICOOP FIRENZE S.C.R.L.   ";"2021-06-30";"CONTRATTI";"2500,0"
"14/62";"RIALTO SPA SOCIETA' A SOCIO UNICO     ";"2021-06-30";"CONTRATTI";"850,0"
"14/121";"IPER MONTEBELLO SPA  ";"2021-06-30";"CONTRATTI";"4386,15"
"14/127";"GS SPA (IPERMERCATI)";"2021-06-30";"CONTRATTI";"1500,0"
"14/4";"COOP CENTRO ITALIA SOCIETA' COOPERATIVA  ";"2021-06-30";"CONTRATTI";"3500,0"
"14/91";"PENNY MARKET SRL CON SOCIO UNICO ";"2021-06-30";"CONTRATTI";"3750,0"
"14/109";"CONAD DEL TIRRENO SOC. COOP  VIA BURE VECCHIA NORD 10   ";"2021-06-30";"CONTRATTI";"3500,0"
"14/126";"MAIORA SRL   ";"2021-06-30";"CONTRATTI";"0,0"
"14/5";"ESSELUNGA FIRENZE";"2020-09-30";"CONTRATTI";"2013,0"
"14/1";"UNICOOP FIRENZE S.C.R.L.   ";"2020-09-30";"CONTRATTI";"5000,0"
"14/62";"RIALTO SPA SOCIETA' A SOCIO UNICO     ";"2020-09-30";"CONTRATTI";"650,0"
"14/121";"IPER MONTEBELLO SPA  ";"2020-09-30";"CONTRATTI";"2500,0"
"14/127";"GS SPA (IPERMERCATI)";"2020-09-30";"CONTRATTI";"951,5"
"14/4";"COOP CENTRO ITALIA SOCIETA' COOPERATIVA  ";"2020-09-30";"CONTRATTI";"1650,0"
"14/91";"PENNY MARKET SRL CON SOCIO UNICO ";"2020-09-30";"CONTRATTI";"1875,0"
"14/109";"CONAD DEL TIRRENO SOC. COOP  VIA BURE VECCHIA NORD 10   ";"2020-09-30";"CONTRATTI";"1875,0"
"14/126";"MAIORA SRL   ";"2020-09-30";"CONTRATTI";"650,0"
"14/5";"ESSELUNGA FIRENZE";"2021-09-30";"CONTRATTI";"2013,0"
"14/1";"UNICOOP FIRENZE S.C.R.L.   ";"2021-09-30";"CONTRATTI";"5000,0"
"14/62";"RIALTO SPA SOCIETA' A SOCIO UNICO     ";"2021-09-30";"CONTRATTI";"650,0"
"14/121";"IPER MONTEBELLO SPA  ";"2021-09-30";"CONTRATTI";"2500,0"
"14/127";"GS SPA (IPERMERCATI)";"2021-09-30";"CONTRATTI";"951,5"
"14/4";"COOP CENTRO ITALIA SOCIETA' COOPERATIVA  ";"2021-09-30";"CONTRATTI";"1650,0"
"14/91";"PENNY MARKET SRL CON SOCIO UNICO ";"2021-09-30";"CONTRATTI";"1875,0"
"14/109";"CONAD DEL TIRRENO SOC. COOP  VIA BURE VECCHIA NORD 10   ";"2021-09-30";"CONTRATTI";"1875,0"
"14/126";"MAIORA SRL   ";"2021-09-30";"CONTRATTI";"650,0"
"14/5";"ESSELUNGA FIRENZE";"2020-12-31";"CONTRATTI";"2013,0"
"14/1";"UNICOOP FIRENZE S.C.R.L.   ";"2020-12-31";"CONTRATTI";"5000,0"
"14/62";"RIALTO SPA SOCIETA' A SOCIO UNICO     ";"2020-12-31";"CONTRATTI";"650,0"
"14/121";"IPER MONTEBELLO SPA  ";"2020-12-31";"CONTRATTI";"2500,0"
"14/127";"GS SPA (IPERMERCATI)";"2020-12-31";"CONTRATTI";"951,5"
"14/4";"COOP CENTRO ITALIA SOCIETA' COOPERATIVA  ";"2020-12-31";"CONTRATTI";"1650,0"
"14/91";"PENNY MARKET SRL CON SOCIO UNICO ";"2020-12-31";"CONTRATTI";"1875,0"
"14/109";"CONAD DEL TIRRENO SOC. COOP  VIA BURE VECCHIA NORD 10   ";"2020-12-31";"CONTRATTI";"1875,0"
"14/126";"MAIORA SRL   ";"2020-12-31";"CONTRATTI";"650,0"
"14/5";"ESSELUNGA FIRENZE";"2021-12-31";"CONTRATTI";"2013,0"
"14/1";"UNICOOP FIRENZE S.C.R.L.   ";"2021-12-31";"CONTRATTI";"5000,0"
"14/62";"RIALTO SPA SOCIETA' A SOCIO UNICO     ";"2021-12-31";"CONTRATTI";"650,0"
"14/121";"IPER MONTEBELLO SPA  ";"2021-12-31";"CONTRATTI";"2500,0"
"14/127";"GS SPA (IPERMERCATI)";"2021-12-31";"CONTRATTI";"951,5"
"14/4";"COOP CENTRO ITALIA SOCIETA' COOPERATIVA  ";"2021-12-31";"CONTRATTI";"1650,0"
"14/91";"PENNY MARKET SRL CON SOCIO UNICO ";"2021-12-31";"CONTRATTI";"1875,0"
"14/109";"CONAD DEL TIRRENO SOC. COOP  VIA BURE VECCHIA NORD 10   ";"2021-12-31";"CONTRATTI";"1875,0"
"14/126";"MAIORA SRL   ";"2021-12-31";"CONTRATTI";"650,0"
"14/92";"GS SPA (Carrefour Terre Italia)";"2020-03-31";"ANALISI ESTERNE";"86,5"
"14/62";"RIALTO SPA SOCIETA' A SOCIO UNICO     ";"2020-03-31";"ANALISI ESTERNE";"0,0"
"14/131";"ALDI SRL COD.09717   SOC.CON SOCIO UNICO         ";"2020-03-31";"ANALISI ESTERNE";"1004,0"
"14/109";"CONAD DEL TIRRENO SOC. COOP  VIA BURE VECCHIA NORD 10   ";"2020-03-31";"ANALISI ESTERNE";"0,0"
"14/92";"GS SPA (Carrefour Terre Italia)";"2021-03-31";"ANALISI ESTERNE";"86,5"
"14/62";"RIALTO SPA SOCIETA' A SOCIO UNICO     ";"2021-03-31";"ANALISI ESTERNE";"0,0"
"14/131";"ALDI SRL COD.09717   SOC.CON SOCIO UNICO         ";"2021-03-31";"ANALISI ESTERNE";"1004,0"
"14/109";"CONAD DEL TIRRENO SOC. COOP  VIA BURE VECCHIA NORD 10   ";"2021-03-31";"ANALISI ESTERNE";"0,0"
"14/92";"GS SPA (Carrefour Terre Italia)";"2020-06-30";"ANALISI ESTERNE";"1457,07"
"14/62";"RIALTO SPA SOCIETA' A SOCIO UNICO     ";"2020-06-30";"ANALISI ESTERNE";"0,0"
"14/91";"PENNY MARKET SRL CON SOCIO UNICO ";"2020-06-30";"ANALISI ESTERNE";"0,0"
"14/131";"ALDI SRL COD.09717   SOC.CON SOCIO UNICO         ";"2020-06-30";"ANALISI ESTERNE";"0,0"
"14/109";"CONAD DEL TIRRENO SOC. COOP  VIA BURE VECCHIA NORD 10   ";"2020-06-30";"ANALISI ESTERNE";"0,0"
"14/92";"GS SPA (Carrefour Terre Italia)";"2021-06-30";"ANALISI ESTERNE";"1457,07"
"14/62";"RIALTO SPA SOCIETA' A SOCIO UNICO     ";"2021-06-30";"ANALISI ESTERNE";"0,0"
"14/91";"PENNY MARKET SRL CON SOCIO UNICO ";"2021-06-30";"ANALISI ESTERNE";"0,0"
"14/131";"ALDI SRL COD.09717   SOC.CON SOCIO UNICO         ";"2021-06-30";"ANALISI ESTERNE";"0,0"
"14/109";"CONAD DEL TIRRENO SOC. COOP  VIA BURE VECCHIA NORD 10   ";"2021-06-30";"ANALISI ESTERNE";"0,0"
"14/92";"GS SPA (Carrefour Terre Italia)";"2020-09-30";"ANALISI ESTERNE";"0,0"
"14/62";"RIALTO SPA SOCIETA' A SOCIO UNICO     ";"2020-09-30";"ANALISI ESTERNE";"0,0"
"14/91";"PENNY MARKET SRL CON SOCIO UNICO ";"2020-09-30";"ANALISI ESTERNE";"0,0"
"14/131";"ALDI SRL COD.09717   SOC.CON SOCIO UNICO         ";"2020-09-30";"ANALISI ESTERNE";"-168,18"
"14/109";"CONAD DEL TIRRENO SOC. COOP  VIA BURE VECCHIA NORD 10   ";"2020-09-30";"ANALISI ESTERNE";"0,0"
"14/92";"GS SPA (Carrefour Terre Italia)";"2021-09-30";"ANALISI ESTERNE";"0,0"
"14/62";"RIALTO SPA SOCIETA' A SOCIO UNICO     ";"2021-09-30";"ANALISI ESTERNE";"0,0"
"14/91";"PENNY MARKET SRL CON SOCIO UNICO ";"2021-09-30";"ANALISI ESTERNE";"0,0"
"14/131";"ALDI SRL COD.09717   SOC.CON SOCIO UNICO         ";"2021-09-30";"ANALISI ESTERNE";"-168,18"
"14/109";"CONAD DEL TIRRENO SOC. COOP  VIA BURE VECCHIA NORD 10   ";"2021-09-30";"ANALISI ESTERNE";"0,0"
"14/92";"GS SPA (Carrefour Terre Italia)";"2020-12-31";"ANALISI ESTERNE";"0,0"
"14/62";"RIALTO SPA SOCIETA' A SOCIO UNICO     ";"2020-12-31";"ANALISI ESTERNE";"0,0"
"14/91";"PENNY MARKET SRL CON SOCIO UNICO ";"2020-12-31";"ANALISI ESTERNE";"0,0"
"14/131";"ALDI SRL COD.09717   SOC.CON SOCIO UNICO         ";"2020-12-31";"ANALISI ESTERNE";"-168,18"
"14/109";"CONAD DEL TIRRENO SOC. COOP  VIA BURE VECCHIA NORD 10   ";"2020-12-31";"ANALISI ESTERNE";"0,0"
"14/92";"GS SPA (Carrefour Terre Italia)";"2021-12-31";"ANALISI ESTERNE";"0,0"
"14/62";"RIALTO SPA SOCIETA' A SOCIO UNICO     ";"2021-12-31";"ANALISI ESTERNE";"0,0"
"14/91";"PENNY MARKET SRL CON SOCIO UNICO ";"2021-12-31";"ANALISI ESTERNE";"0,0"
"14/131";"ALDI SRL COD.09717   SOC.CON SOCIO UNICO         ";"2021-12-31";"ANALISI ESTERNE";"-168,18"
"14/109";"CONAD DEL TIRRENO SOC. COOP  VIA BURE VECCHIA NORD 10   ";"2021-12-31";"ANALISI ESTERNE";"0,0"
